author_id,text,created_at,public_metrics
1004137473679679488,Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:00:01.000Z,"{'retweet_count': 5, 'reply_count': 5, 'like_count': 24, 'quote_count': 1, 'impression_count': 4386}"
280039470,RT @RihardJarc: $AAPL's card high-yield savings account that offers 4.15% APY puts even more pressure on the whole financial &amp; fintech indu…,2023-04-18T01:58:20.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1553476551961894921,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings account…,2023-04-18T01:58:00.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
48956913,RT @Jake__Wujastyk: $AAPL #AAPL Ascending triangle on the daily chart w/ the gap above at $171.31. https://t.co/rj7JG7eHPj,2023-04-18T01:57:47.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1332125649465696256,"$AAPL is a trillion dollar business with 20%+ profit margin. 

Don’t shoot the messenger 💀 

There are other piece of shit businesses to short. Instead",2023-04-18T01:55:30.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 0, 'impression_count': 703}"
833664195841388546,RT @seemacnbc: Two sources have confirmed India’s PM @narendramodi plans to meet Apple CEO Tim Cook on Wednesday morning in New Delhi $AAPL,2023-04-18T01:54:55.000Z,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1514792832061505554,RT @Barchart: Apple $AAPL has partnered with Goldman Sachs to offer its credit card holders the option to open a high yield savings account…,2023-04-18T01:51:55.000Z,"{'retweet_count': 8, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
189881802,"RT @d_pavlos: $AAPL
NANCY PELOSI JUST BOUGHT 10,000 SHARES OF APPLE
#stockmarket #investing #trading #finance #investor #wallstreet #stockt…",2023-04-18T01:51:04.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1298383393521111046,RT @MandoTrading: $AAPL large bearish imbalance formed at 9AM before HODLing 164.50. Formed some support late Monday. Resistance levels in…,2023-04-18T01:50:56.000Z,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1273386066,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield savi…",2023-04-18T01:49:21.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
